"series_url","series","season","winner","margin"
"http://www.espncricinfo.com/ci/engine/series/60835.html","Benson & Hedges World Series Cup (Australia, Pakistan, West Indies in Australia)","1983/84","West Indies",""
"http://www.espncricinfo.com/ci/engine/series/60836.html","England in New Zealand ODI Series","1983/84","England","2-1 (3)"
"http://www.espncricinfo.com/ci/engine/series/60839.html","England in Pakistan ODI Series","1983/84","drawn","1-1 (2)"
"http://www.espncricinfo.com/ci/engine/series/60838.html","New Zealand in Sri Lanka ODI Series","1983/84","New Zealand","2-1 (3)"
"http://www.espncricinfo.com/ci/engine/series/60840.html","Rothmans Asia Cup (India, Pakistan, Sri Lanka in United Arab Emirates)","1983/84","India",""
"http://www.espncricinfo.com/ci/engine/series/60837.html","Australia in West Indies ODI Series","1983/84","West Indies","3-1 (4)"
"http://www.espncricinfo.com/ci/engine/series/60841.html","Texaco Trophy (West Indies in England)","1984","West Indies","2-1 (3)"
"http://www.espncricinfo.com/ci/engine/series/60842.html","Australia in India ODI Series","1984/85","Australia","3-0 (5)"
"http://www.espncricinfo.com/ci/engine/series/60843.html","India in Pakistan ODI Series","1984/85","Pakistan","1-0 (2)"
"http://www.espncricinfo.com/ci/engine/series/60844.html","New Zealand in Sri Lanka ODI Series","1984/85","drawn","1-1 (2)"
"http://www.espncricinfo.com/ci/engine/series/60845.html","New Zealand in Pakistan ODI Series","1984/85","Pakistan","3-1 (4)"
"http://www.espncricinfo.com/ci/engine/series/60846.html","England in India ODI Series","1984/85","England","4-1 (5)"
"http://www.espncricinfo.com/ci/engine/series/60847.html","Benson & Hedges World Series Cup (Australia, Sri Lanka, West Indies in Australia)","1984/85","West Indies",""
"http://www.espncricinfo.com/ci/engine/series/60848.html","Pakistan in New Zealand ODI Series","1984/85","New Zealand","3-0 (4)"
"http://www.espncricinfo.com/ci/engine/series/60849.html","Benson & Hedges World Championship of Cricket (in Australia)","1984/85","India",""
"http://www.espncricinfo.com/ci/engine/series/60851.html","Rothmans Four-Nations Cup (Australia, England, India, Pakistan in United Arab Emirates)","1984/85","India",""
"http://www.espncricinfo.com/ci/engine/series/60850.html","New Zealand in West Indies ODI Series","1984/85","West Indies","5-0 (5)"
"http://www.espncricinfo.com/ci/engine/series/60852.html","Texaco Trophy (Australia in England)","1985","Australia","2-1 (3)"
"http://www.espncricinfo.com/ci/engine/series/60853.html","India in Sri Lanka ODI Series","1985","drawn","1-1 (3)"
"http://www.espncricinfo.com/ci/engine/series/60854.html","Sri Lanka in Pakistan ODI Series","1985/86","Pakistan","4-0 (4)"
"http://www.espncricinfo.com/ci/engine/series/60855.html","Rothmans Sharjah Cup (India, Pakistan, West Indies in United Arab Emirates)","1985/86","West Indies",""
"http://www.espncricinfo.com/ci/engine/series/60856.html","West Indies in Pakistan ODI Series","1985/86","West Indies","3-2 (5)"
"http://www.espncricinfo.com/ci/engine/series/60857.html","Benson & Hedges World Series Cup (Australia, India, New Zealand in Australia)","1985/86","Australia",""
"http://www.espncricinfo.com/ci/engine/series/60859.html","Pakistan in Sri Lanka ODI Series","1985/86","Pakistan","2-0 (3)"
"http://www.espncricinfo.com/ci/engine/series/60860.html","Australia in New Zealand ODI Series","1985/86","drawn","2-2 (4)"
"http://www.espncricinfo.com/ci/engine/series/60858.html","England in West Indies ODI Series","1985/86","West Indies","3-1 (4)"
"http://www.espncricinfo.com/ci/engine/series/60861.html","John Player Gold Leaf Trophy (Asia Cup) (Bangladesh, Pakistan, Sri Lanka in Sri Lanka)","1985/86","Sri Lanka",""
"http://www.espncricinfo.com/ci/engine/series/60862.html","John Player Triangular Tournament (New Zealand, Pakistan, Sri Lanka in Sri Lanka)","1985/86","Pakistan",""
